date,product_id,sales,category,region,price,discount,rating,views,clicks,ProductID,profit
2024-03-12,P009,66.0,A,South,16.5,6.1,2.0,4023.0,49.0,,
2024-03-13,P005,50.0,A,East,82.7,12.27,3.0,3269.0,436.0,,
2024-03-14,P017,66.0,B,North,65.17,27.61,3.0,807.0,485.0,,
2024-03-15,P006,25.0,C,North,37.57,9.06,5.0,3764.0,401.0,,
2024-03-16,P011,59.0,C,South,65.25,5.42,1.0,4843.0,13.0,,
2024-03-17,P005,52.0,D,West,55.6,26.56,4.0,1957.0,426.0,,
2024-03-18,P007,48.0,B,South,67.22,15.62,1.0,1417.0,313.0,,
2024-03-19,P007,52.0,B,East,52.78,13.47,1.0,844.0,178.0,,
2024-03-20,P004,31.0,E,North,79.56,7.16,3.0,4932.0,430.0,,
2024-03-21,P010,49.0,A,South,14.07,8.22,4.0,518.0,404.0,,
2024-03-22,P018,55.0,E,North,40.99,21.86,5.0,2956.0,464.0,,
2024-03-23,P001,66.0,C,West,60.34,16.73,3.0,2670.0,98.0,,
2024-03-24,P014,46.0,B,South,62.94,29.9,5.0,4168.0,148.0,,
2024-03-25,P006,43.0,C,South,25.26,2.19,4.0,199.0,126.0,,
2024-03-26,P011,46.0,A,North,16.71,3.1,3.0,2991.0,173.0,,
2024-03-27,P014,60.0,A,West,11.89,6.41,3.0,1990.0,50.0,,
2024-03-28,P020,54.0,A,North,47.17,1.17,1.0,219.0,102.0,,
2024-03-29,P003,46.0,C,East,39.73,13.97,1.0,3652.0,276.0,,
2024-03-30,P016,56.0,B,East,61.1,7.29,3.0,848.0,100.0,,
2024-03-31,P016,52.0,E,West,50.46,16.45,3.0,901.0,11.0,,
2024-04-01,P007,61.0,B,East,45.47,14.74,3.0,815.0,116.0,,
2024-04-02,P008,44.0,B,North,85.9,14.94,3.0,1262.0,84.0,,
2024-04-03,P004,48.0,D,South,65.94,29.79,4.0,3967.0,19.0,,
2024-04-04,P012,47.0,B,East,68.15,17.19,5.0,4685.0,216.0,,
2024-04-05,P012,37.0,E,West,44.36,19.81,2.0,1971.0,443.0,,
2024-04-06,P010,54.0,D,West,79.92,35.92,5.0,1038.0,233.0,,
2024-04-07,P012,54.0,B,North,23.69,6.65,1.0,2502.0,125.0,,
2024-04-08,P011,51.0,D,East,46.18,9.41,5.0,4295.0,351.0,,
2024-04-09,P011,49.0,B,East,14.25,3.3,4.0,4698.0,41.0,,
2024-04-10,P015,37.0,A,East,20.39,4.29,2.0,2213.0,305.0,,
2024-04-11,P006,47.0,A,West,17.34,4.59,4.0,3430.0,322.0,,
2024-04-12,P011,48.0,B,West,49.73,8.07,5.0,4985.0,380.0,,
2024-04-13,P002,43.0,D,West,72.76,5.27,2.0,3468.0,499.0,,
2024-04-14,P009,50.0,E,South,38.14,6.73,1.0,2484.0,191.0,,
2024-04-15,P011,55.0,A,North,12.39,4.03,5.0,3673.0,131.0,,
2024-04-16,P016,70.0,D,South,73.65,36.9,5.0,3389.0,125.0,,
2024-04-17,P013,53.0,E,West,28.67,1.63,5.0,3261.0,205.0,,
2024-04-18,P013,54.0,D,East,75.04,13.49,2.0,978.0,34.0,,
2024-04-19,P018,51.0,B,East,10.66,4.4,5.0,3280.0,137.0,,
2024-04-20,P001,32.0,A,South,38.11,1.75,4.0,2943.0,486.0,,
2024-04-21,P020,51.0,A,West,65.91,32.68,4.0,4421.0,468.0,,
2024-04-22,P010,52.0,A,West,88.4,34.31,2.0,3082.0,284.0,,
2024-04-23,P019,76.0,B,West,77.87,57.79,5.0,4391.0,159.0,,
2024-04-24,P017,50.0,E,East,50.47,3.67,5.0,1425.0,427.0,,
2024-04-25,P001,55.0,E,East,74.67,7.09,2.0,3058.0,119.0,,
2024-04-26,P001,51.0,A,West,58.38,17.3,5.0,2548.0,320.0,,
2024-04-27,P017,40.0,E,South,83.21,42.15,1.0,2247.0,27.0,,
2024-04-28,P015,63.0,A,North,79.49,20.91,1.0,4289.0,193.0,,
2024-04-29,P002,59.0,E,East,97.83,37.06,1.0,4676.0,118.0,,
2024-04-30,P011,60.0,A,East,19.44,9.72,4.0,4173.0,329.0,,
2024-05-01,P002,43.0,E,North,40.66,10.7,5.0,3993.0,295.0,,
2024-05-02,P020,66.0,D,West,27.31,13.39,5.0,3661.0,349.0,,
2024-05-03,P009,38.0,A,South,66.77,42.59,1.0,4989.0,134.0,,
2024-05-04,P019,58.0,A,South,69.76,2.59,5.0,3619.0,220.0,,
2024-05-05,P002,74.0,C,West,28.34,4.49,3.0,4350.0,143.0,,
2024-05-06,P016,42.0,A,East,47.94,11.21,2.0,3472.0,36.0,,
2024-05-07,P020,46.0,E,West,64.19,20.98,4.0,4828.0,263.0,,
2024-05-08,P009,53.0,D,East,69.31,13.37,4.0,1192.0,323.0,,
2024-05-09,P020,47.0,D,South,19.24,5.64,1.0,2142.0,412.0,,
2024-05-10,P004,36.0,E,East,92.9,9.31,2.0,1390.0,16.0,,
2024-05-11,P013,53.0,B,South,13.07,2.52,3.0,4069.0,225.0,,
2024-05-12,P015,41.0,A,South,97.56,50.82,4.0,569.0,131.0,,
2024-05-13,P020,57.0,D,South,38.47,13.02,2.0,1895.0,446.0,,
2024-05-14,P002,43.0,E,East,38.47,19.07,3.0,4029.0,339.0,,
2024-05-15,P020,67.0,D,West,50.14,9.8,4.0,2285.0,387.0,,
2024-05-16,P018,44.0,D,South,72.55,13.58,3.0,4911.0,26.0,,
2024-05-17,P009,49.0,E,West,24.36,11.79,2.0,3669.0,230.0,,
2024-05-18,P020,60.0,C,North,32.95,14.58,4.0,2788.0,93.0,,
2024-05-19,P001,40.0,D,North,96.54,27.54,5.0,2507.0,36.0,,
2024-05-20,P003,54.0,D,South,88.92,31.02,4.0,4031.0,180.0,,
2024-05-21,P017,65.0,B,North,29.12,9.47,1.0,175.0,458.0,,
2024-05-22,P011,36.0,C,South,61.57,18.09,5.0,4245.0,244.0,,
2024-05-23,P008,54.0,B,East,28.32,8.23,4.0,886.0,467.0,,
2024-05-24,P012,55.0,E,East,59.51,27.32,1.0,3390.0,107.0,,
2024-05-25,P011,60.0,A,East,42.92,6.43,4.0,2060.0,285.0,,
2024-05-26,P013,40.0,E,West,42.62,9.68,5.0,2878.0,212.0,,
2024-05-27,P015,39.0,C,South,67.16,28.39,2.0,2353.0,141.0,,
2024-05-28,P020,57.0,E,South,32.67,10.73,2.0,1199.0,349.0,,
2024-05-29,P017,55.0,C,West,46.38,11.24,4.0,1860.0,399.0,,
2024-05-30,P012,55.0,B,West,93.27,47.24,1.0,3436.0,486.0,,
2024-05-31,P019,56.0,D,North,77.98,24.05,5.0,4698.0,379.0,,
2024-06-01,P020,45.0,E,North,44.5,6.58,4.0,2901.0,56.0,,
2024-06-02,P011,55.0,E,East,30.72,13.1,5.0,3618.0,83.0,,
2024-06-03,P010,55.0,D,West,69.31,16.8,4.0,3371.0,484.0,,
2024-06-04,P017,45.0,E,West,82.69,33.0,2.0,4935.0,49.0,,
2024-06-05,P013,71.0,E,West,87.47,33.18,3.0,2776.0,18.0,,
2024-06-06,P016,57.0,A,South,60.79,3.56,5.0,2597.0,292.0,,
2024-06-07,P020,40.0,A,North,56.51,7.93,4.0,656.0,361.0,,
2024-06-08,P020,59.0,D,West,74.77,7.2,4.0,4851.0,272.0,,
2024-06-09,P017,43.0,B,East,25.82,5.17,4.0,1918.0,210.0,,
2024-06-10,P005,60.0,E,South,86.69,26.67,3.0,3779.0,464.0,,
2024-06-11,P009,64.0,E,West,16.65,3.63,4.0,2749.0,374.0,,
2024-06-12,P004,44.0,B,North,64.27,7.47,2.0,1133.0,58.0,,
2024-06-13,P009,62.0,E,West,63.07,9.7,4.0,4508.0,19.0,,
2024-06-14,P016,57.0,B,North,37.96,4.68,1.0,3107.0,445.0,,
2024-06-15,P007,61.0,D,North,13.19,3.47,5.0,321.0,45.0,,
2024-06-16,P014,71.0,D,North,74.61,15.75,5.0,2999.0,459.0,,
2024-06-17,P014,50.0,B,East,12.18,4.54,3.0,3603.0,169.0,,
2024-06-18,P007,45.0,B,East,26.17,13.48,5.0,1098.0,468.0,,
2024-06-19,P016,44.0,C,North,58.98,22.32,2.0,1547.0,48.0,,
2024-06-20,P018,44.0,A,South,94.6,11.58,1.0,855.0,169.0,,
2024-06-21,P006,52.0,A,West,15.93,5.31,3.0,1671.0,240.0,,
2024-06-22,P007,56.0,E,South,62.09,13.19,5.0,3688.0,184.0,,
2024-06-23,P019,55.0,E,South,39.6,0.85,4.0,417.0,367.0,,
2024-06-24,P008,61.0,B,West,70.25,34.83,5.0,3705.0,348.0,,
2024-06-25,P001,53.0,B,East,95.76,9.49,2.0,1463.0,204.0,,
2024-06-26,P017,67.0,A,South,34.17,14.86,5.0,2923.0,450.0,,
2024-06-27,P019,50.0,E,South,96.03,26.09,5.0,2073.0,389.0,,
2024-06-28,P007,80.0,A,West,88.36,28.98,2.0,4355.0,322.0,,
2024-06-29,P018,59.0,D,South,64.64,23.92,1.0,3259.0,177.0,,
2024-06-30,P006,44.0,A,South,78.24,4.38,4.0,1760.0,185.0,,
2024-07-01,P006,42.0,A,East,87.84,43.73,5.0,4091.0,339.0,,
2024-07-02,P001,58.0,B,South,82.31,20.2,4.0,3830.0,382.0,,
2024-07-03,P010,51.0,E,North,39.4,6.43,5.0,800.0,371.0,,
2024-07-04,P008,60.0,D,East,83.13,19.0,1.0,479.0,45.0,,
2024-07-05,P007,58.0,A,West,38.22,3.16,1.0,572.0,92.0,,
2024-07-06,P009,52.0,A,West,88.04,45.62,5.0,3303.0,17.0,,
2024-07-07,P001,44.0,B,West,32.99,8.51,5.0,2752.0,424.0,,
2024-07-08,P011,38.0,C,South,61.5,23.8,4.0,1764.0,213.0,,
2024-07-09,P003,48.0,E,West,72.36,27.59,1.0,4863.0,363.0,,
2024-07-10,P018,61.0,E,North,48.32,6.3,4.0,3920.0,82.0,,
2024-07-11,P006,55.0,E,East,80.47,24.5,2.0,209.0,45.0,,
2024-07-12,P011,41.0,A,North,93.28,28.75,3.0,2390.0,122.0,,
2024-07-13,P005,55.0,A,West,26.76,17.1,5.0,4756.0,375.0,,
2024-07-14,P020,57.0,A,South,13.01,1.31,5.0,1778.0,269.0,,
2024-07-15,P004,44.0,C,South,66.39,23.57,4.0,4867.0,170.0,,
2024-07-16,P008,55.0,A,West,64.2,10.67,5.0,4900.0,328.0,,
2024-07-17,P010,54.0,E,West,40.72,3.8,2.0,1870.0,467.0,,
2024-07-18,P003,42.0,E,West,80.69,9.8,1.0,2737.0,231.0,,
2024-07-19,P013,57.0,B,South,84.35,16.36,2.0,3552.0,465.0,,
2024-07-20,P017,59.0,C,North,39.88,9.09,5.0,3465.0,481.0,,
2024-07-21,P005,64.0,D,East,71.4,14.28,4.0,3608.0,469.0,,
2024-07-22,P008,64.0,A,West,67.78,11.2,1.0,1117.0,115.0,,
2024-07-23,P019,39.0,D,North,40.84,20.0,2.0,3734.0,287.0,,
2024-07-24,P018,44.0,A,North,97.22,46.38,2.0,219.0,234.0,,
2024-07-25,P001,58.0,C,North,41.18,19.77,4.0,3902.0,148.0,,
2024-07-26,P004,58.0,C,West,65.83,12.5,5.0,2870.0,37.0,,
2024-07-27,P018,58.0,E,South,44.21,10.45,1.0,3198.0,498.0,,
2024-07-28,P014,92.0,C,North,11.06,3.11,1.0,1923.0,430.0,,
2024-07-29,P011,59.0,D,North,18.25,4.93,5.0,2566.0,436.0,,
2024-07-30,P009,65.0,D,North,30.91,11.49,1.0,697.0,111.0,,
2024-07-31,P013,63.0,C,East,83.1,25.19,3.0,454.0,218.0,,
2024-08-01,P017,60.0,D,North,49.79,27.82,1.0,995.0,191.0,,
2024-08-02,P015,50.0,A,North,62.98,13.25,4.0,4447.0,385.0,,
2024-08-03,P002,61.0,B,South,94.95,11.75,3.0,4216.0,152.0,,
2024-08-04,P006,46.0,E,North,23.23,3.97,3.0,1278.0,415.0,,
2024-08-05,P007,51.0,B,North,87.56,33.0,2.0,1857.0,392.0,,
2024-08-06,P002,49.0,D,West,44.13,7.94,3.0,154.0,351.0,,
2024-08-07,P013,54.0,E,South,40.37,1.47,5.0,3395.0,398.0,,
2024-08-08,P010,77.0,B,North,66.3,35.42,1.0,599.0,64.0,,
2024-08-09,P016,35.0,B,North,90.88,28.36,2.0,2208.0,233.0,,
2024-08-10,P009,60.0,D,East,41.37,10.17,2.0,4630.0,456.0,,
2024-08-11,P008,37.0,E,East,78.53,30.83,4.0,3393.0,265.0,,
2024-08-12,P015,49.0,E,North,11.73,6.75,4.0,2417.0,99.0,,
2024-08-13,P007,64.0,B,East,66.08,16.02,5.0,2184.0,73.0,,
2024-08-14,P019,54.0,E,North,66.75,17.67,4.0,226.0,305.0,,
2024-08-15,P004,43.0,E,West,60.05,24.97,3.0,1562.0,216.0,,
2024-08-16,P009,46.0,A,East,94.4,31.04,5.0,4486.0,69.0,,
2024-08-17,P019,60.0,D,West,94.47,24.61,1.0,2495.0,350.0,,
2024-08-18,P002,46.0,D,North,40.79,26.91,5.0,1249.0,373.0,,
2024-08-19,P007,56.0,A,East,51.07,5.2,1.0,4294.0,402.0,,
2024-08-20,P019,54.0,B,North,81.31,3.74,4.0,1688.0,147.0,,
2024-08-21,P006,47.0,C,South,85.95,30.88,3.0,2697.0,34.0,,
2024-08-22,P015,75.0,B,West,47.62,17.46,1.0,1684.0,145.0,,
2024-08-23,P007,60.0,A,South,41.41,3.17,1.0,2799.0,67.0,,
2024-08-24,P006,33.0,E,West,83.86,20.39,5.0,545.0,393.0,,
2024-08-25,P001,56.0,A,North,43.92,16.25,2.0,3186.0,98.0,,
2024-08-26,P014,47.0,D,East,46.47,4.74,3.0,2181.0,348.0,,
2024-08-27,P001,62.0,E,South,22.2,6.55,2.0,1884.0,433.0,,
2024-08-28,P006,46.0,B,East,58.87,19.18,5.0,598.0,331.0,,
2024-08-29,P018,53.0,E,East,39.38,16.73,2.0,2793.0,86.0,,
2024-08-30,P017,59.0,D,South,63.15,19.18,3.0,3855.0,409.0,,
2024-08-31,P002,62.0,A,South,50.34,10.63,2.0,822.0,405.0,,
2024-09-01,P008,42.0,B,East,77.33,23.23,3.0,3047.0,329.0,,
2024-09-02,P002,51.0,C,North,35.0,3.62,3.0,2268.0,282.0,,
2024-09-03,P016,49.0,C,South,25.48,8.09,3.0,2094.0,223.0,,
2024-09-04,P004,47.0,A,North,73.27,18.82,1.0,2947.0,497.0,,
2024-09-05,P002,72.0,B,North,44.57,13.09,4.0,2745.0,114.0,,
2024-09-06,P005,58.0,B,South,60.72,18.81,5.0,1463.0,145.0,,
2024-09-07,P017,41.0,E,North,94.7,41.42,5.0,1665.0,64.0,,
2024-09-08,P002,63.0,A,West,53.57,21.72,4.0,4673.0,269.0,,
2024-09-09,P014,75.0,E,North,23.72,11.06,3.0,2471.0,249.0,,
2024-09-10,P020,64.0,A,North,48.4,4.43,3.0,1054.0,112.0,,
2024-09-11,P007,39.0,D,North,53.07,23.89,1.0,2611.0,134.0,,
2024-09-12,P015,49.0,A,East,78.94,27.52,1.0,3328.0,327.0,,
2024-09-13,P018,67.0,E,North,27.57,18.96,1.0,657.0,111.0,,
2024-09-14,P013,47.0,B,North,41.22,11.7,5.0,816.0,250.0,,
2024-09-15,P012,59.0,A,North,14.5,1.12,2.0,4708.0,211.0,,
2024-09-16,P002,62.0,B,North,73.18,16.29,5.0,4810.0,64.0,,
2024-09-17,P012,45.0,D,East,76.95,2.46,3.0,4162.0,353.0,,
2024-09-18,P006,54.0,C,East,51.15,4.32,5.0,1976.0,64.0,,
2024-09-19,P001,22.0,C,East,58.44,19.74,3.0,1889.0,372.0,,
2024-09-20,P001,44.0,E,South,77.48,33.75,2.0,302.0,401.0,,
2024-09-21,P015,52.0,A,South,34.15,3.76,2.0,3552.0,464.0,,
2024-09-22,P016,42.0,D,East,64.63,4.3,3.0,3957.0,76.0,,
2024-09-23,P007,71.0,D,South,96.75,56.22,3.0,409.0,182.0,,
2024-09-24,P014,40.0,B,East,69.22,17.76,1.0,3354.0,32.0,,
2024-09-25,P019,50.0,E,North,17.03,4.23,2.0,337.0,412.0,,
2024-09-26,P019,56.0,D,East,36.12,1.14,5.0,2727.0,445.0,,
2024-09-27,P013,69.0,A,East,56.72,19.37,4.0,1966.0,97.0,,
2024-09-28,P012,40.0,D,South,16.54,3.51,5.0,4058.0,333.0,,
2024-09-29,P001,66.0,C,East,70.89,20.17,4.0,3449.0,212.0,,
2024-09-30,P012,54.0,E,West,68.88,41.63,3.0,4359.0,202.0,,
2024-10-01,P004,45.0,B,North,88.87,6.04,4.0,458.0,275.0,,
2024-10-02,P015,59.0,A,East,55.0,9.75,1.0,1232.0,95.0,,
2024-10-03,P016,56.0,C,East,72.29,32.85,5.0,867.0,90.0,,
2024-10-04,P015,48.0,D,East,26.38,5.74,2.0,3425.0,447.0,,
2024-10-05,P008,55.0,E,East,10.26,1.88,4.0,2527.0,52.0,,
2024-10-06,P019,51.0,E,South,25.5,10.64,4.0,2617.0,125.0,,
2024-10-07,P015,56.0,A,South,15.6,12.82,3.0,2092.0,275.0,,
2024-10-08,P018,61.0,B,West,48.49,13.99,1.0,2403.0,293.0,,
2024-10-09,P011,70.0,C,South,52.15,20.11,4.0,4869.0,457.0,,
2024-10-10,P009,42.0,B,West,68.0,34.09,3.0,2759.0,88.0,,
2024-10-11,P001,76.0,A,West,22.67,3.48,4.0,2680.0,303.0,,
2024-10-12,P009,35.0,A,East,29.32,5.28,4.0,315.0,162.0,,
2024-10-13,P012,53.0,C,West,81.85,43.61,4.0,4055.0,369.0,,
2024-10-14,P002,60.0,E,North,61.89,13.64,4.0,3481.0,445.0,,
2024-10-15,P011,57.0,E,South,12.64,2.44,5.0,1095.0,460.0,,
2024-10-16,P014,48.0,C,West,86.36,2.76,4.0,4622.0,271.0,,
2024-10-17,P002,53.0,B,North,66.68,29.67,5.0,317.0,488.0,,
2024-10-18,P015,50.0,C,South,26.8,11.07,1.0,2980.0,139.0,,
2024-10-19,P018,49.0,E,North,32.69,13.02,4.0,1357.0,371.0,,
2024-10-20,P014,63.0,B,East,59.82,6.74,4.0,4049.0,160.0,,
2024-10-21,P012,58.0,D,East,60.47,23.12,5.0,314.0,348.0,,
2024-10-22,P010,48.0,B,South,82.47,13.33,3.0,184.0,459.0,,
2024-10-23,P014,64.0,E,West,42.27,5.36,3.0,778.0,460.0,,
2024-10-24,P015,58.0,A,North,59.44,20.16,2.0,599.0,153.0,,
2024-10-25,P005,63.0,B,East,62.43,11.27,4.0,3794.0,415.0,,
2024-10-26,P002,61.0,B,West,60.28,32.43,2.0,984.0,169.0,,
2024-10-27,P006,47.0,A,East,16.56,3.6,2.0,4213.0,10.0,,
2024-10-28,P012,49.0,E,East,47.01,27.82,3.0,671.0,123.0,,
2024-10-29,P002,62.0,D,West,40.5,17.75,3.0,1817.0,185.0,,
2024-10-30,P004,61.0,D,South,99.35,9.0,5.0,3269.0,415.0,,
2024-10-31,P007,55.0,C,West,51.91,14.23,5.0,1982.0,41.0,,
2024-11-01,P016,56.0,D,North,49.17,14.67,4.0,2349.0,158.0,,
2024-11-02,P001,68.0,D,South,53.53,21.3,5.0,4914.0,483.0,,
2024-11-03,P001,49.0,B,North,92.74,15.83,4.0,1330.0,402.0,,
2024-11-04,P014,60.0,C,South,65.03,5.67,5.0,1109.0,169.0,,
2024-11-05,P011,53.0,D,East,45.02,18.57,4.0,548.0,215.0,,
2024-11-06,P012,53.0,B,West,92.13,14.05,1.0,4660.0,246.0,,
2024-11-07,P011,66.0,C,North,93.69,51.87,2.0,941.0,427.0,,
2024-11-08,P006,63.0,B,South,33.79,9.46,5.0,3341.0,64.0,,
2024-11-09,P012,63.0,A,East,45.41,23.12,1.0,2430.0,269.0,,
2024-11-10,P012,68.0,E,East,96.98,27.64,1.0,3708.0,208.0,,
2024-11-11,P010,55.0,E,West,58.69,9.79,1.0,2982.0,38.0,,
2024-11-12,P008,62.0,E,West,48.86,16.87,1.0,4751.0,322.0,,
2024-11-13,P020,52.0,D,North,27.59,6.56,3.0,4149.0,422.0,,
2024-11-14,P019,58.0,E,South,44.6,17.81,2.0,833.0,36.0,,
2024-11-15,P007,54.0,E,East,66.81,45.23,4.0,4707.0,372.0,,
2024-11-16,P014,56.0,C,North,13.48,4.41,4.0,667.0,112.0,,
2024-11-17,P004,61.0,C,North,17.5,3.82,3.0,871.0,138.0,,
2024-11-18,P001,47.0,C,East,10.48,7.01,1.0,1247.0,237.0,,
2024-11-19,P008,76.0,D,South,29.7,4.46,5.0,3713.0,225.0,,
2024-11-20,P005,45.0,E,North,26.47,6.24,2.0,4757.0,101.0,,
2024-11-21,P008,43.0,D,West,86.57,21.28,2.0,4309.0,199.0,,
2024-11-22,P008,67.0,D,East,26.67,8.12,5.0,1354.0,308.0,,
2024-11-23,P007,63.0,D,East,69.51,24.78,4.0,371.0,477.0,,
2024-11-24,P019,61.0,D,East,20.65,15.3,1.0,1373.0,225.0,,
2024-11-25,P004,62.0,D,South,63.42,10.56,3.0,255.0,456.0,,
2024-11-26,P020,55.0,D,South,49.21,0.81,1.0,998.0,272.0,,
2024-11-27,P006,46.0,E,North,46.78,16.96,5.0,1874.0,185.0,,
2024-11-28,P012,56.0,C,North,87.09,14.74,5.0,4828.0,117.0,,
2024-11-29,P018,49.0,B,East,25.09,5.11,3.0,4476.0,195.0,,
2024-11-30,P012,65.0,B,North,63.57,9.67,5.0,515.0,54.0,,
2024-12-01,P018,54.0,B,East,83.97,46.66,4.0,2820.0,239.0,,
2024-12-02,P003,47.0,A,West,74.25,13.88,4.0,3106.0,267.0,,
2024-12-03,P010,52.0,C,North,98.5,35.31,4.0,814.0,454.0,,
2024-12-04,P007,60.0,E,South,10.19,4.11,3.0,1330.0,351.0,,
2024-12-05,P003,50.0,D,South,89.59,31.84,4.0,2224.0,380.0,,
2024-12-06,P019,47.0,B,East,65.21,11.26,4.0,273.0,447.0,,
